work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,stuck_days,queue_type
WS/MP641/2024-2025/155195,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,94.7,635.0,proactive
WS/MP761/2025-2026/138988,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,94.6,358.0,proactive
WS/MP18019/2024-2025/137593,AMARSING TISSO,Assam,Monitor,MP + District Authority,94.6,667.0,proactive
WS/MP435/2024-2025/146457,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,94.5,600.0,proactive
WS/MP416/2025-2026/150766,Ashok Kumar Yadav,Bihar,Monitor,MP + District Authority,94.5,656.0,proactive
WS/MP416/2025-2026/150767,Ashok Kumar Yadav,Bihar,Monitor,MP + District Authority,94.5,656.0,proactive
WS/MP18109/2025-2026/150117,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,94.3,662.0,proactive
WS/MP641/2024-2025/147406,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,94.2,514.0,proactive
WS/MP18180/2025-2026/149583,ARUN NEHRU,Tamil Nadu,Monitor,MP + District Authority,94.1,666.0,proactive
WS/MP18180/2025-2026/149582,ARUN NEHRU,Tamil Nadu,Monitor,MP + District Authority,94.1,666.0,proactive
WS/MP18180/2025-2026/149581,ARUN NEHRU,Tamil Nadu,Monitor,MP + District Authority,94.1,666.0,proactive
WS/MP18019/2024-2025/137519,AMARSING TISSO,Assam,Monitor,MP + District Authority,94.0,648.0,proactive
WS/MP641/2024-2025/133911,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,94.0,671.0,proactive
WS/MP18144/2024-2025/148135,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,93.9,596.0,proactive
WS/MP18109/2024-2025/150115,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,93.7,662.0,proactive
WS/MP641/2024-2025/147742,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,93.7,607.0,proactive
WS/MP641/2024-2025/147755,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,93.7,607.0,proactive
,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,93.6,639.0,proactive
,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,93.6,639.0,proactive
WS/MP435/2024-2025/145973,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,93.6,600.0,proactive
WS/MP453/2025-2026/153906,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,93.5,639.0,proactive
,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,93.3,639.0,proactive
,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,93.3,639.0,proactive
,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,93.3,639.0,proactive
WS/MP18032/2024-2025/137014,SUDHAKAR SINGH,Bihar,Monitor,MP + District Authority,93.2,622.0,proactive
WS/MP761/2026-2027/153979,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,93.0,639.0,proactive
WS/MP423/2024-2025/133944,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133964,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133940,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133941,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133959,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133946,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133945,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133955,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
WS/MP423/2024-2025/133949,Ramprit Mandal,Bihar,Monitor,MP + District Authority,93.0,548.0,proactive
